# name,mass,mass_error_min,mass_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication_status,detection_type,mass_detection_type,radius_detection_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_metallicity,star_mass,star_radius,star_sp_type,star_age,star_teff,star_detected_disc,star_magnetic_field
CoRoT-15 b,63.3,4,4,1.12,0.15,0.3,3.06036,3.00E-05,3.00E-05,0.045,0.01,0.014,0,,,86.7,3.2,2.3,,2010,9/23/2015,,,,,,,,,,2454753.561,0.0011,0.0011,,,,,,,0.38,0.26,0.26,,,,7.36,0.11,0.11,1740,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,CoRoT-15,97.11666668,6.186241673,,,,,,,,,,F7V,,,,
CoRoT-16 b,0.535,0.085,0.085,1.17,0.14,0.14,5.35227,0.0002,0.0002,0.0618,0.0015,0.0015,0.33,0.1,0.1,85.01,1.2,1.2,7.40E-05,2010,1/24/2014,168.41,21,21,,,,,,,2454923.914,0.0022,0.0022,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-16,278.525,-6.0025,15.64,,,,,840,0.19,1.098,1.19,G5V,6.73,5650,,
CoRoT-17 b,2.43,0.16,0.16,1.02,0.07,0.07,3.768125,0.000257,0.000257,0.0461,0.0008,0.0008,0,,,88.34,1.54,1.54,5.00E-05,2010,1/24/2014,,,,,,,,,,2454923.309,0.003613,0.003613,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-17,278.6958333,-6.6122222,15.46,,,,,920,0,1.04,1.59,G2V,10.7,5740,,
CoRoT-18 b,3.47,0.38,0.38,1.31,0.18,0.18,1.9000693,2.80E-06,2.80E-06,0.0295,0.0016,0.0016,0.08,inf,nan,86.5,0.9,0.9,3.40E-05,2011,1/24/2014,,,,,,,,,,2455321.724,0.00018,0.00018,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-18,98.17083335,0.031388901,14.99,,,,,870,-0.1,0.95,1,G9V,,5440,,
CoRoT-19 b,1.11,0.06,0.06,1.29,0.05,0.05,3.89713,2.00E-05,2.00E-05,0.0518,0.0008,0.0008,0.047,0.045,0.045,87.61,0.37,0.37,6.50E-05,2011,1/24/2014,86,60,60,,,,,,,2455257.441,0.0006,0.0006,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-19,97.03333334,0.170555562,14.78,,,,,800,-0.02,1.21,1.65,F9V,5,6090,,
CoRoT-2 b,3.31,0.16,0.16,1.465,0.029,0.029,1.7429964,1.70E-06,1.70E-06,0.0281,0.0009,0.0009,0,,,87.84,0.1,0.1,9.40E-05,2007,1/25/2014,,,,,,,,,,2454706.404,0.003,0.003,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-2,291.7791667,1.3838889,12.57,,,,,300,-0.04,0.97,0.902,G7V,,5575,,
CoRoT-20 b,4.24,0.23,0.23,0.84,0.04,0.04,9.24285,0,0,0.0902,0.0021,0.0021,0.562,0.013,0.013,88.21,0.53,0.53,7.30E-05,2011,7/10/2014,56.3,2.4,2.4,,,,,,,2455266,0.0014,0.0014,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-20,97.730434,0.22692,14.66,,,,,1230,0.14,1.14,0.92,G2V,0.1,5880,,
CoRoT-21 b,2.26,0.31,0.31,1.3,0.14,0.14,2.72474,0.00014,0.00014,0.0417,0.0011,0.0011,0,,,86.8,2.1,2.1,,2011,1/24/2014,,,,,,,,,,2454399.028,0.0009,0.0009,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-21,101.05245,-0.29913,16,,,,,,0,1.29,1.945,F8IV,4.1,6200,,
CoRoT-22 b,0.0383853,0.027687758,0.044048705,0.435365216,0.034793532,0.015166411,9.75598,0.00011,0.00011,0.092,0.0014,0.0014,0.077,0.042,0.3,89.749,0.9,0.032,0.000149,2011,8/28/2014,210,30,70,,,,,,,2454598.42,0.00051,0.00099,,,,,,,,,,,,,,,,885,,,,,,,Announced on a professional conference,Primary Transit,,,,,CoRoT-22,280.6666667,6.225000011,11.93,,,,,592,0.17,1.099,1.136,G0IV,3.3,5939,,
CoRoT-23 b,2.8,0.25,0.25,1.08,0.13,0.13,3.6314,0.0001,0.0001,0.0477,0.0038,0.0038,0.16,0.017,0.017,85.7,1.5,1.5,8.00E-05,2011,1/26/2014,51.8,9,9,,,,,,,2455308.937,0.001,0.001,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-23,279.782615,4.3578,15.63,,,,,600,0.05,1.14,1.61,G0V,7.2,5900,,
CoRoT-24 b,0.018,inf,nan,0.33,0.04,0.04,5.1134,0.0006,0.0006,0.056,0.002,0.002,0,,,86.5,2,2,9.30E-05,2011,7/8/2014,,,,,,,,,,2454789.611,0.006,0.006,,,,,,,,,,,,,,,,1070,,,,,,,Submitted to a professional journal,Primary Transit,,,,,CoRoT-24,101.925,-3.719444461,,14.3,,,,600,0.3,0.91,0.86,K1V,11,4950,,
CoRoT-24 c,0.088,0.035,0.035,0.44,0.04,0.04,11.759,0.0063,0.0063,0.098,0.003,0.003,0,,,89,1,1.6,0.000163,2011,7/8/2014,,,,,,,,,,2454795.38,0.0265,0.0265,,,,,,,,,,,,,,,,850,,,,,,,Submitted to a professional journal,Primary Transit,,,,,CoRoT-24,101.925,-3.719444461,,14.3,,,,600,0.3,0.91,0.86,K1V,11,4950,,
CoRoT-25 b,0.27,0.04,0.04,1.08,0.1,0.3,4.86069,6.00E-05,6.00E-05,0.0578,0.0029,0.0029,,,,84.5,0.8,0.3,,2012,5/21/2014,,,,,,,,,,2454577.431,0.0008,0.0008,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-25,280.6292,6.5139,15,,,,,1000,-0.01,1.09,1.19,G0V,5.2,6040,,
CoRoT-26 b,0.52,0.05,0.05,1.26,0.07,0.13,4.20474,5.00E-05,5.00E-05,0.0526,0.001,0.001,0,,,86.8,1,2.2,,2012,5/27/2014,,,,,,,,,,2454574.681,0.0008,0.0008,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-26,279.75,6.97,15.76,,,,,1670,0.01,1.09,1.79,G8IV,8.6,5590,,
CoRoT-27 b,10.39,0.55,0.55,1.007,0.044,0.044,3.57532,6.00E-05,6.00E-05,0.0476,0.0066,0.0066,0.065,0.065,0,86.7,0.87,1.2,,2012,7/10/2014,,,,,,,,,,2455748.684,0.001,0.001,,,,,,,,,,,,,,,,1500,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-27,278.4958,5.5386,15.54,,,,,,0.1,1.05,1.08,G2,4.21,5900,,
CoRoT-28 b,0.484,0.087,0.087,0.955,0.066,0.066,5.20851,0.00038,0.00038,0.059,0.0027,0.0027,0.047,0.038,0.055,,,,,2012,8/17/2015,126,61,140,,,,,,,2455755.847,0.0029,0.0029,,,,,,,0.24,0.09,0.09,,,,56.4,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,CoRoT-28,278.6875,5.5739,13.49,,,,,560,0.15,1.01,1.78,G8/9IV,12,5150,,
CoRoT-29 b,0.85,0.2,0.2,0.9,0.16,0.16,2.85057,6.00E-06,6.00E-06,0.039,0.002,0.002,0.082,0.081,0.081,87.3,2.7,2.7,,2012,4/27/2015,87,210,49,,,,,,,2455753.115,0.001,0.001,,,,,,,0.43,0.44,0.44,,,,125,17,17,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,CoRoT-29,278.9042,6.4797,15.35,,,,,765,0.2,0.976,0.9,KOV,4.5,5260,,
CoRoT-3 b,21.77,1,1,1.01,0.07,0.07,4.2567994,5.00E-06,5.00E-06,0.057,0.003,0.003,0,,,85.9,0.8,0.8,8.40E-05,2008,7/8/2013,,,,,,,,,,2454283.138,0.0003,0.0003,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-3,292.0541667,0.1219444,13.3,,,,,680,0.14,1.41,1.44,F3V,2,6558,,
CoRoT-33 b,59,1.8,1.8,1.1,0.53,0.53,5.819143,1.80E-05,1.80E-05,0.0579,,,0.07,0.0016,0.0016,85.5,0.5,0.5,,2015,8/25/2015,179.3,0.87,0.87,,,,,,,2456676.399,0.0037,0.0037,,,,,,,1.04,0.06,0.06,,,,7061,9,9,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,CoRoT-33,279.6416667,5.624722241,14.7,,,,,,0.44,0.86,0.94,G9V,4.6,5225,,
CoRoT-4 b,0.72,0.08,0.08,1.19,0.05,0.05,9.20205,0.00037,0.00037,0.09,0.001,0.001,0,0,0,90,0.085,0.085,,2008,6/5/2013,,,,,,,,,,2454141.364,0.00089,0.00089,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-4,102.1958333,-0.6727778,13.7,,,,,,0.05,1.1,1.15,F8V,1,6190,,
CoRoT-5 b,0.467,0.024,0.047,1.33,0.047,0.047,4.0378962,1.90E-06,1.90E-06,0.04947,0.00029,0.00029,0.09,0.04,0.04,85.83,1.38,1.38,0.000124,2008,5/22/2014,231.7,48,48,,,,,,,2454400.199,0.0002,0.0002,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-5,101.2791667,0.8152778,14,,,,,400,-0.25,1,1.186,F9V,6.9,6100,,
CoRoT-6 b,2.96,0.34,0.34,1.166,0.035,0.035,8.886593,4.00E-06,4.00E-06,0.0855,0.0015,0.0015,0.1,inf,nan,89.07,0.3,0.3,,2009,6/5/2013,,,,2454595.614,0.0002,0.0002,,,,2454702.256,0.0003,0.0003,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-6,281.075,6.6633333,13.9,,,,,,-0.2,1.055,1.025,F9V,,6090,,
CoRoT-7 b,0.023345814,0.003807067,0.003807067,0.148987687,0.008029277,0.008029277,0.853585,2.40E-05,2.40E-05,0.0172,0.00029,0.00029,0,,,80.1,0.3,0.3,0.000115,2009,11/5/2013,,,,,,,,,,2454398.077,0.0015,0.0015,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-7,100.9541667,-1.0627778,11.7,,,,,150,0.03,0.93,0.87,K0V,1.5,5313,,
CoRoT-7 c,0.0264,0.0028,0.0028,,,,3.698,0.003,0.003,0.046,,,0,,,,,,0.000307,2009,10/15/2010,,,,2454445,0.7,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,CoRoT-7,100.9541667,-1.0627778,11.7,,,,,150,0.03,0.93,0.87,K0V,1.5,5313,,
CoRoT-8 b,0.215838656,0.03398043,0.03398043,0.569186492,0.01962712,0.01962712,6.21229,3.00E-05,3.00E-05,0.063,0.001,0.001,0,,,88.4,0.1,0.1,0.000166,2010,8/16/2014,,,,,,,,,,2454238.974,0.0004,0.0004,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-8,291.5875,1.4266667,14.8,,,,,380,0.3,0.88,0.77,K1V,3,5080,,
CoRoT-9 b,0.84,0.07,0.07,0.94,0.04,0.04,95.273804,0.0014,0.0014,0.407,0.005,0.005,0.11,0.04,0.04,89.9,nan,inf,0.000885,2010,6/5/2013,37,37,37,,,,,,,2454603.345,0.0001,0.0001,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-9,280.7875,6.2041667,13.7,,,,,460,-0.01,0.99,0.94,G3V,4,5625,,
DE0823-49 b,31.5,13,13,,,,247.75,0.64,0.64,0.36,0.01,0.01,0.36,0.04,0.04,52.2,1.5,1.5,,2013,6/1/2015,41.8,4.9,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,1670,,,,,,Published in a refereed paper,Imaging,Astrometry,,,,DE0823-49,125.7625,-48.79972222,,,,,,20.69,,0.045,,,0.1,2150,,
DH Tau b,11,0.003,0.01,,,,,,,330,,,,,,,,,,2005,3/8/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,DH Tau,67.425,26.5494444,13.71,,,,,,,0.37,,M0.5V,0.001,,,
DP Leo b,6.05,0.47,0.47,,,,10230,730,730,8.19,0.39,0.39,0.39,0.13,0.13,,,,,2009,11/18/2010,282,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Pulsar,,,,,DP Leo,169.3166667,17.9613889,17.5,,,,,,,0.69,,AM Her,,,,
EPIC 201505350 b,,,,0.645,0.005,0.005,7.919454,8.00E-05,8.00E-05,0.077,0.008,0.013,0,,,88.83,1.1,0.9,,2015,3/3/2015,,,,,,,,,,2456813.383,0.00039,0.00039,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,Primary Transit,,,EPIC 201505350,174.9583334,0.603611126,13.5,,,,,,0.38,0.89,0.88,,,5230,,
EPIC 201505350 c,1.1,0,1.1,0.376,0.028,0.028,11.90701,0.00039,0.00044,0.103,0.0074,0.008,0,,,89.91,0.05,0.32,,2015,3/3/2015,,,,,,,,,,2456817.276,0.0012,0.0012,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,TTV,Primary Transit,,,EPIC 201505350,174.9583334,0.603611126,13.5,,,,,,0.38,0.89,0.88,,,5230,,
EPIC 201637175 b,1.4,1.4,0,0.25,0.25,0,0.381071,1.00E-06,1.00E-06,0.0088,0.0008,0.0008,,,,,,,,2015,7/27/2015,,,,,,,,,,2456811.122,2.40E-05,2.40E-05,,,,,,,0.68,0.06,0.06,,,,280,0,280,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,EPIC 201637175 ,169.4833334,2.618611125,17,,,,,225,0.03,0.6,0.57,M0V,,3830,,
EPIC-206011691 b,,,,0.142,0.039,0.037,9.32414,0.00063,0.00059,0.0731,0.0067,0.0057,,,,88.3,1.1,1.3,,2015,8/28/2015,,,,,,,,,,2456989.424,0.002,0.0025,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,Primary Transit,,,EPIC-206011691,340.3037083,-14.48898613,12.85,,,,9.4,65,-0.11,0.64,0.6,M0,,4043,,
EPIC-206011691 c,,,,0.171,0.046,0.04818,15.5012,0.00099,0.00093,0.1026,0.0094,0.0079,,,,89.08,0.75,0.63,,2015,8/28/2015,,,,,,,,,,2456988.471,0.0017,0.0021,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,Primary Transit,,,EPIC-206011691,340.3037083,-14.48898613,12.85,,,,9.4,65,-0.11,0.64,0.6,M0,,4043,,
FU Tau b,15,,,,,,,,,800,,,,,,,,,5.714286,2009,9/19/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,FU Tau,65.8958333,25.0508333,,,,9.95,,140,,0.05,,M7.25,0.001,2838,,
FW Tau b,10,4,4,,,,,,,330,30,30,,,,,,,,2013,12/2/2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,FW Tau,67.37500001,26.28138891,15.5,,,,,145,,0.26,,M4,0.0018,3270,,
Fomalhaut b,3,3,0,,,,320000,,,115,,,0.11,0,0,,,,14.92731,2008,5/22/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,Fomalhaut,344.4125,-29.6222222,1.16,,,,,7.704,,1.92,1.842,A3 V,0.44,8590,Imaging,
GJ 1214 b,0.020325331,0.003114873,0.003114873,0.23820187,1.070570204,1.070570204,1.58040482,1.80E-07,1.80E-07,0.01411,0.00032,0.00032,0.27,0.27,0,88.17,0.54,0.54,0.001077,2009,5/21/2014,,,,,,,,,,2455391.654,2.80E-05,2.80E-05,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,GJ 1214,258.8291667,4.9638889,14.71,,,,,13,0.39,0.15,0.216,M,6,3026,,
GJ 160.2 b,0.032092628,0.018557955,0.022646996,,,,5.2354,0.0065,0.0027,0.053,0.007,0.004,0.06,0.06,0.2,,,,,2014,5/25/2014,355.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,GJ 160.2,61.64517234,-19.14687801,9.675,,,,,,,0.69,,M0V,,4347,,
GJ 176 b,0.0265,,,,,,8.7836,0.0054,0.0054,0.066,,,0,0,0,,,,0.007006,2007,12/17/2010,,,,,,,,,,,,,,,,,,,,,,2454399.79,0.33,0.33,,,,,,,,,,,Submitted to a professional journal,Radial Velocity,,,,,GJ 176,70.7333333,18.9580556,9.97,,6.462,5.824,5.607,9.42,-0.1,0.49,0.53,M2.5V,,,,
GJ 180 b,0.02611459,0.016670706,0.011008956,,,,17.38,0.02,0.018,0.103,0.014,0.006,0.11,0.11,0.14,,,,,2014,5/25/2014,11.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,GJ 180,73.45824902,-16.22658487,10.894,,,,,,,0.43,,M2V,,3371,,
GJ 180 c,0.020136551,0.012896206,0.01163804,,,,24.329,0.066,0.052,0.129,0.017,0.007,0.09,0.09,0.2,,,,,2014,5/25/2014,234.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,GJ 180,73.45824902,-16.22658487,10.894,,,,,,,0.43,,M2V,,3371,,
GJ 221  BD-061339 d,0.091,0.063,0.057,,,,500,26,32,1.06,0.07,0.07,0.04,0.04,0.25,,,,,2014,8/29/2015,275,85,275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,BD-061339,88.25,-5.9947,6.69,,,,,20,-0.14,0.7,,K7V/M0V,4.4,4324,,
GJ 229 b,0.100682755,0.050326659,0.053472075,,,,471,12,22,0.97,0.09,0.12,0.1,0.1,0.22,,,,,2014,5/25/2014,148.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,GJ 229,92.64423055,-20.13535783,8.125,,,,,,,0.58,,M1/M2V,,3564,,
GJ 27.1 b,0.040902369,0.020759747,0.012896206,,,,15.819,0.026,0.049,0.101,0.013,0.009,0.08,0.08,0.16,,,,,2014,5/25/2014,154.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,GJ 27.1,9.995107978,-43.74677819,11.401,,,,,,,0.53,,M0.5V,,3542,,
GJ 3021 b,3.37,0.09,0.09,,,,133.71,0.2,0.2,0.49,,,0.511,0.017,0.017,,,,0.027809,2000,8/29/2014,290.7,3,3,2451545.86,0.64,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,GJ 3021,4.05,-79.8511111,6.59,,,,,17.62,0.1,0.9,0.9,G6 V,8.77,5540,,
GJ 317 b,1.81,0.05,0.05,,,,692,2,2,1.148,,,0.11,0.05,0.05,45,10,10,0.076159,2007,8/1/2015,340,10,10,2451656.7,35,35,,,,,,,,,,,,,,,,,,,73.5,2,2,,,,,,,,Submitted to a professional journal,Radial Velocity,Radial Velocity,,,,GJ 317,130.2458333,-23.4563889,12,,6.41,5.9,5.59,15.1,0.36,0.42,,M3.5,,3510,,
GJ 317 c,2,0,0,,,,7300,nan,inf,30,20,10,0.81,0.2,0.2,,,,1.986755,2007,10/16/2015,210,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,GJ 317,130.2458333,-23.4563889,12,,6.41,5.9,5.59,15.1,0.36,0.42,,M3.5,,3510,,
GJ 328 b,2.3,13,13,,,,4100,300,300,4.5,0.2,0.2,0.37,0.05,0.05,,,,,2013,8/29/2014,,,,2454500,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,GJ 328,133.7833,1.54901111,9.98,,,,,19.8,0,0.69,,K7,,3900,,
GJ 3293 b,0.0812,0.0053,0.0053,,,,30.6,0.02,0.02,0.1434,,,0.09,0.04,0.04,,,,,2014,12/17/2014,282.3,24.2,24.2,2455640.3,1.9,1.9,,,,,,,,,,,,,,,,,,,8.9,0.04,0.04,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,GJ 3293,67.15000001,-25.16916667,11.96,,,,,17.9,0.02,0.42,0.404,M2.5,,3466,,
GJ 3293 d,0.0705,0.0053,0.0053,,,,123.98,0.38,0.38,0.364,,,0.37,0.06,0.06,,,,,2014,12/2/2014,322,14.1,14.1,2455684.9,3.7,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,GJ 3293,67.15000001,-25.16916667,11.96,,,,,17.9,0.02,0.42,0.404,M2.5,,3466,,
GJ 3341 b,0.35717,0.0053,0.0053,,,,14.207,0.007,0.007,0.089,,,0.31,0.11,0.11,,,,,2014,12/17/2014,42.32,4.3,4.3,2455623.7,0.8,0.8,,,,,,,,,,,,,,,,,,,3.04,0.41,0.41,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,GJ 3341,78.94583335,-31.29611113,12.08,,,,,23.1,-0.09,0.47,0.349,M2.5,,3526,,
GJ 3470 b,0.043734072,0.005128528,0.005128528,0.373807429,0.052636368,0.052636368,3.33671,5.00E-05,5.00E-05,0.03557,0.001,0.001,,,,88.3,0.5,0.5,,2012,11/5/2013,,,,,,,,,,2456090.477,0.00015,0.00015,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,GJ 3470,119.775,15.3916667,12.27,,,,,30.7,0.2,0.539,0.568,M1.5,1,3600,,
GJ 3634 b,0.022,0.0035,0.0035,,,,2.64561,0.00066,0.00066,0.0287,0.0011,0.0011,0.08,0.057,0.057,59,24,24,0.001449,2011,9/10/2012,84,130,130,2454917.04,0.53,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,GJ 3634,164.6458333,-31.1441667,11.95,,,,,19.8,,0.45,0.43,M2.5,,,,
GJ 422 b,0.031148727,0.012581664,0.01761433,,,,26.161,0.098,0.082,0.119,0.011,0.014,0.05,0.05,0.21,,,,,2014,5/25/2014,246.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,GJ 422,169.0008563,-56.45233364,11.516,,,,,,,0.35,,M3.5V,,3323,,
GJ 433 b,0.01667,0.00597,0.00629,,,,7.3697,0.0036,0.0034,0.06,0.008,0.004,0.05,0.05,0.16,,,,0.006416,2009,5/25/2014,309.39,,,2454287,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a professional conference,Radial Velocity,,,,,GJ 433,173.8625,-32.54,9.79,,,,,9.04,-0.22,0.48,,M1.5,,3600,,
GJ 433 c,0.14,,,,,,3693,253,253,3.6,,,0.17,0.09,0.09,,,,0.39823,2012,5/25/2014,206,36,36,2456740,462,462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Radial Velocity,,,,,GJ 433,173.8625,-32.54,9.79,,,,,9.04,-0.22,0.48,,M1.5,,3600,,
GJ 436 b,0.07,0.0052,0.0052,0.38,,,2.64394,9.85E-05,9.85E-05,0.02887,0.00095,0.00095,0.1912,0.0571,0.0449,85.8,0.25,0.25,0.00283,2004,8/28/2015,354.4,15.3,15.3,2452992.1,,,,,,2454221.616,0.00012,0.00012,,,,,,,,,,,,,18.07,1.03,1.03,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Theoretical,,CO2; CO; H2O; H; H,GJ 436,175.5458333,26.7063889,10.68,,,,,10.2,-0.32,0.452,0.464,M2.5,6,3684,,
GJ 504 b,4,1,4.5,,,,,,,43.5,,,,,,,,,,2013,3/4/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,510,,,,,3.9,Published in a refereed paper,Imaging,,,59 Vir b,CH4,GJ 504,199.1958,9.4242,5.22,,,,,17.56,0.28,1.22,,GOV,0.16,6234,,
GJ 667C b,0.0176,0.0041,0.0044,,,,7.2004,0.0017,0.0017,0.0505,0.0053,0.0044,0.13,0.11,0.1,,,,0.007368,2009,5/25/2014,5.7,360,360,2454443.1,0.6,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Radial Velocity,,,,,GJ 667C,259.7375,-34.9897222,10.22,,,,,6.84,-0.55,0.33,,M1.5V,2,3600,,
GJ 667C c,0.0119,0.065,0.053,,,,28.14,0.03,0.03,0.125,0.013,0.012,0.02,0.02,0.15,,,,0.018289,2011,5/25/2014,292,360,360,2454462,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Radial Velocity,,,,,GJ 667C,259.7375,-34.9897222,10.22,,,,,6.84,-0.55,0.33,,M1.5V,2,3600,,
GJ 667C d,0.01604,0.00535,0.00566,,,,91.61,0.89,0.81,0.276,0.03,0.024,0.03,0.03,0.2,,,,0.044371,2012,5/25/2014,40.11,360,360,2454499,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,GJ 667C,259.7375,-34.9897222,10.22,,,,,6.84,-0.55,0.33,,M1.5V,2,3600,,
GJ 667C e,0.0085,0.0044,0.005,,,,62.24,0.55,0.55,0.213,0.02,0.02,0.02,0.02,0.004,,,,,2013,5/25/2014,28.65,360,360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,GJ 667C,259.7375,-34.9897222,10.22,,,,,6.84,-0.55,0.33,,M1.5V,2,3600,,
GJ 667C f,0.0085,0.0038,0.0044,,,,39.026,0.211,0.194,0.156,0.017,0.014,0.03,0.03,0.16,,,,,2013,5/25/2014,103,360,360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,GJ 667C,259.7375,-34.9897222,10.22,,,,,6.84,-0.55,0.33,,M1.5V,2,3600,,
GJ 667C g,0.0145,0.0072,0.0082,,,,256.2,7.9,13.8,0.549,0.058,0.052,0.08,0.08,0.41,,,,,2013,5/25/2014,51.56,360,360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,GJ 667C,259.7375,-34.9897222,10.22,,,,,6.84,-0.55,0.33,,M1.5V,2,3600,,
